sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.PT,200001,200,50,-2096.0,-2096.0,-2096.0,16.062216307997005,50,1.0,0.3212443261599401,-2096.0
neal.SA,200001,200,50,-2096.0,-2096.0,-2086.36,4.928262060013367,31,0.62,0.46911658091741354,-2096.0
ising_lab.SA,200002,200,50,-2186.0,-2186.0,-2185.44,1.5985744799836539,47,0.94,0.05233297428951283,-2186.0
ising_lab.PT,200002,200,50,-2186.0,-2186.0,-2186.0,16.30623467999976,50,1.0,0.32612469359999524,-2186.0
neal.SA,200002,200,50,-2186.0,-2186.0,-2185.92,4.884826644003624,48,0.96,0.1397721393965662,-2186.0
ising_lab.SA,200003,200,50,-2048.0,-2030.0,-2030.52,1.6025877020147163,4,0.08,1.7702198841339205,-2048.0
ising_lab.PT,200003,200,50,-2048.0,-2048.0,-2045.88,16.259255952987587,30,0.6,1.6343424233462946,-2048.0
neal.SA,200003,200,50,-2048.0,-2026.0,-2027.52,4.794520748022478,2,0.04,10.81749398302375,-2048.0
ising_lab.SA,200004,200,50,-2080.0,-2078.0,-2075.24,1.6583400329982396,16,0.32,0.3960425739167042,-2080.0
ising_lab.PT,200004,200,50,-2080.0,-2080.0,-2080.0,16.103235101996688,50,1.0,0.32206470203993376,-2080.0
neal.SA,200004,200,50,-2080.0,-2078.0,-2071.76,4.676075298979413,12,0.24,1.5693317345366364,-2080.0
ising_lab.SA,300000,300,50,-3856.0,-3839.0,-3840.48,3.8180063179752324,16,0.32,0.9118112204451345,-3856.0
ising_lab.PT,300000,300,50,-3856.0,-3856.0,-3855.8,37.82282268299605,45,0.9,1.5129129073198417,-3856.0
neal.SA,300000,300,50,-3856.0,-3842.0,-3836.64,11.622274004999781,20,0.4,2.0955311265171805,-3856.0
ising_lab.SA,300001,300,50,-3868.0,-3856.0,-3851.48,3.9196536770032253,13,0.26,1.198961604125861,-3868.0
ising_lab.PT,300001,300,50,-3868.0,-3868.0,-3867.6,40.98622487398097,47,0.94,1.3417773644029212,-3868.0
neal.SA,300001,300,50,-3868.0,-3850.0,-3849.44,11.50674239298678,7,0.14,7.026852104382836,-3868.0
ising_lab.SA,300002,300,50,-3922.0,-3920.0,-3914.68,4.2044896250008605,18,0.36,0.8677100527581868,-3922.0
ising_lab.PT,300002,300,50,-3922.0,-3922.0,-3921.92,40.591770660015754,48,0.96,1.1614738946795178,-3922.0
neal.SA,300002,300,50,-3922.0,-3920.0,-3915.32,11.494372737011872,14,0.28,3.222702423323567,-3922.0
ising_lab.SA,300003,300,50,-3992.0,-3992.0,-3974.84,4.165202445001341,38,0.76,0.26881432677184697,-3992.0
ising_lab.PT,300003,300,50,-3992.0,-3992.0,-3992.0,41.27492775800056,50,1.0,0.8254985551600111,-3992.0
neal.SA,300003,300,50,-3992.0,-3992.0,-3978.0,10.718160521995742,40,0.8,0.6133688401794795,-3992.0
ising_lab.SA,300004,300,50,-3876.0,-3865.0,-3858.12,4.201193445012905,1,0.02,19.153087251592694,-3876.0
ising_lab.PT,300004,300,50,-3876.0,-3876.0,-3875.0,41.431357502995525,42,0.84,2.0822916319098335,-3876.0
neal.SA,300004,300,50,-3876.0,-3864.0,-3860.64,11.527184186008526,1,0.02,52.55201108196594,-3876.0
